Raw Serial Number,Commit Message,DEMPE Function Class
238,Co-authored-by: Benjamin E. Coe <bencoe@google.com>,Non-conventional
239,docs: add Typescript example for .terminalWidth() (#2224),3
239,Add example note of `.wrap()` method usage with `.terminalWidth()`.,Non-conventional
239,Ref: https://github.com/yargs/yargs/pull/165#issuecomment-1214959504,Non-conventional
239,Co-authored-by: Benjamin E. Coe <bencoe@google.com>,Non-conventional
240,fix(deps): update dependency yargs-parser to v21.1.1 (#2231),3
240,Currently the `yargs` is not usable in Deno with `.env()`.,Non-conventional
240,This was fixed in https://github.com/yargs/yargs-parser/pull/432,Non-conventional
240,It was released in yargs-parser v21.0.1,Non-conventional
240,This dependency bump will fix `yargs` for Deno.,Non-conventional
240,Co-authored-by: Benjamin E. Coe <bencoe@google.com>,Non-conventional
